층,임차인,용도,임대면적_평,임대면적_m2,보증금_원per평,월임대료_원per평,관리비_원per평,임대차만료,인상률_pct,비고,출처
8F,쿠팡,근생,78.09,258.15,229800,38300,2600,2034-04-30,2.50,,IM p.16
8F,쿠팡,상온창고,63.86,211.11,229800,38300,2600,2034-04-30,2.50,,IM p.16
8F,키즈밀,근생,479.38,1584.73,208600,40000,3000,2029-12-31,2.50,,IM p.16
8F,쿠팡,상온창고,207.40,685.62,219000,36500,2500,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
7F,쿠팡,상온창고,1550.42,5125.36,360000,60000,3000,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
6F,쿠팡,상온창고,2187.87,7232.63,360000,60000,3000,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
5F,쿠팡,상온창고,2185.56,7224.99,360000,60000,3000,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
4F,쿠팡,상온창고,2185.56,7224.99,360000,60000,3000,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
3F,농심,상온창고,2185.56,7224.99,294000,49000,3000,2029-07-29,0.00,,IM p.16
2F,쿠팡,상온창고,2185.56,7224.99,360000,60000,3000,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
1F,지오영,상온창고,1092.94,3613.02,360000,60000,3000,2035-01-31,2.50,,IM p.16
1F,용마로지스,상온창고,856.05,2829.92,360000,60000,3000,2030-01-31,2.50,,IM p.16
1F,아이팜,근생,17.29,57.16,360000,60000,3000,2030-04-30,2.50,,IM p.16
1F,공실,근생,141.01,466.15,,,,,,공실(모델상 2036-10-31까지 공실 가정),IM p.16
B1,쿠팡,상온창고,2745.32,9075.44,360000,60000,3000,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
B2,쿠팡,상온창고,2728.21,9018.88,360000,60000,3000,2034-04-30,2.50,2029-04 중도해지(연장) 선택권,IM p.16
합계,,,20890.08,69058.12,7205114천원(총액),1203361천원(총액),62086천원(총액),,,,IM p.16
